"type","id","lat","lon","keyType","keyValue"
"node",21226174,45.4688059,9.1992598,"highway","traffic_signals"
"node",21226225,45.4623851,9.1980056,"highway","traffic_signals"
"node",21226642,45.4631304,9.1971026,"highway","traffic_signals"
"node",21226827,45.4628378,9.1972656,"highway","crossing"
"node",21226958,45.4670051,9.2005458,"highway","traffic_signals"
"node",21226980,45.472348,9.1950795,"highway","traffic_signals"
"node",21227115,45.4632209,9.1988033,"highway","traffic_signals"
"node",21227127,45.4587569,9.1778116,"highway","traffic_signals"
"node",21227284,45.4573624,9.1875204,"highway","traffic_signals"
"node",21663248,45.4657838,9.2004837,"highway","traffic_signals"
"node",21663251,45.4658826,9.1976984,"highway","traffic_signals"
"node",27552408,45.4623564,9.2009386,"highway","traffic_signals"
"node",27654244,45.4697855,9.1982184,"highway","traffic_signals"
"node",28848502,45.4800118,9.1896394,"highway","traffic_signals"
"node",28848589,45.4567491,9.1836097,"highway","traffic_signals"
"node",33197501,45.4729089,9.187408,"highway","traffic_signals"
"node",33197631,45.4749554,9.1915992,"highway","traffic_signals"
"node",95769558,45.4592272,9.1785872,"highway","crossing"
"node",114317300,45.4723092,9.1951374,"highway","traffic_signals"
"node",227531791,45.464414,9.2000054,"amenity","fuel"
"node",227641500,45.470966,9.1996258,"amenity","fuel"
"node",227642844,45.4750473,9.1881099,"amenity","fuel"
"node",241470728,45.4554319,9.1841715,"highway","traffic_signals"
"node",241472086,45.4621782,9.1983108,"highway","crossing"
"node",241475062,45.4728348,9.1927843,"highway","traffic_signals"
"node",251291809,45.4711117,9.1946283,"amenity","theatre"
"node",251293037,45.465622,9.1982156,"highway","crossing"
"node",251293116,45.4675817,9.1998163,"barrier","gate"
"node",251899002,45.4598041,9.198602,"amenity","fountain"
"node",252635778,45.4796288,9.1921177,"highway","traffic_signals"
"node",252641374,45.4751215,9.1892865,"amenity","place_of_worship"
"node",257898306,45.4565508,9.1951034,"railway","station"
"node",258934759,45.456002,9.1829107,"barrier","bollard"
"node",260044832,45.454769,9.1936546,"amenity","hospital"
"node",266323313,45.4624269,9.199852,"barrier","bollard"
"node",267483715,45.4608322,9.1965125,"highway","traffic_signals"
"node",268598516,45.46217,9.1995754,"amenity","post_office"
"node",269924846,45.4797332,9.1889733,"amenity","pub"
"node",291897312,45.4731436,9.1896323,"highway","traffic_signals"
